|Системный номер|Код подразделения|Наименование подразделения|Дата окончания|
 |7924|750-006|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В ЧИТИНСКОМ Р-НЕ| |
 |7925|750-007|ТП УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В АКШИНСКОМ Р-НЕ| |
 |7926|750-008|Миграционный пункт УФМС России по Забайкальскому краю в Александрово-Заводском районе| |
 |7927|750-008|ТП УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В АЛЕКСАНДРОВО-ЗАВОДСКОМ Р-НЕ|01.06.2015|
 |7928|750-009|ТП УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В БАЛЕЙСКОМ Р-НЕ| |
 |7929|750-010|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В БОРЗИНСКОМ Р-НЕ| |
 |7930|750-011|ТП В П. ШЕРЛОВАЯ ГОРА ОТДЕЛЕНИЯ УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В БОРЗИНСКОМ Р-НЕ| |
 |7931|750-012|ТП УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В ГАЗИМУРО-ЗАВОДСКОМ Р-НЕ|01.06.2015|
 |7932|750-012|Миграционный пункт УФМС России по Забайкальскому краю в Газимуро-Заводском районе| |
 |7933|750-013|ОУФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В ЗАБАЙКАЛЬСКОМ Р-НЕ| |
 |7934|750-014|Миграционный пункт УФМС России по Забайкальскому краю в Каларском районе| |
 |7935|750-014|ТП УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В КАЛАРСКОМ Р-НЕ|01.06.2015|
 |7936|750-015|Миграционный пункт УФМС России по Забайкальскому краю в Калганском районе| |
 |7937|750-015|ТП УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В КАЛГАНСКОМ Р-НЕ|01.06.2015|
 |7938|750-016|ОУФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В КАРЫМСКОМ Р-НЕ| |
 |7939|750-017|ТП В П. ДАРАСУН УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В КАРЫМСКОМ Р-НЕ| |
 |7940|750-018|ТП В П. КУРОРТ ДАРАСУН УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В КАРЫМСКОМ Р-НЕ|01.01.2012|
 |7941|750-019|ОУФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В КРАСНОКАМЕНСКОМ Р-НЕ| |
 |7942|750-020|ТП УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В КРАСНОЧИКОЙСКОМ Р-НЕ|01.06.2015|
 |7943|750-020|Миграционный пункт УФМС России по Забайкальскому краю в Красночикойском районе| |
 |7944|750-021|ТП УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В КЫРИНСКОМ Р-НЕ| |
 |7945|750-022|ТП УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В НЕРЧИНСКО-ЗАВОДСКОМ Р-НЕ| |
 |7946|750-023|ТП УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В НЕРЧИНСКОМ Р-НЕ|01.06.2015|
 |7947|750-023|Миграционный пункт УФМС России по Забайкальскому краю в Нерчинском районе| |
 |7948|750-024|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В МОГОЧИНСКОМ Р-НЕ| |
 |7949|750-024|ОТДЕЛ УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В Г. МОГОЧА| |
 |7950|750-025|ОУФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В ПЕТРОВСК-ЗАБАЙКАЛЬСКОМ Р-НЕ| |
 |7951|750-026|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В ПРИАРГУНСКОМ Р-НЕ| |
 |7952|750-026|ОТДЕЛ УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В П. ПРИАРГУНСК| |
 |7953|750-027|ТП УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В ОНОНСКОМ Р-НЕ| |
 |7954|750-028|ТП В П.ОЛОВЯННАЯ ОТДЕЛЕНИЯ УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В ОЛОВЯНИНСКОМ Р-НЕ| |
 |7955|750-028|ТП В П. ОЛОВЯННАЯ ОТДЕЛЕНИЯ УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В ОЛОВЯННИНСКОМ Р-НЕ| |
 |7956|750-028|ОТДЕЛ УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В П. ЯСНОГОРСК| |
 |7957|750-029|ТП В П. ЯСНОГОРСК ОТДЕЛЕНИЯ УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В ОЛОВЯННИНСКОМ Р-НЕ|01.01.2012|
 |7958|750-029|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В ОЛОВЯННИНСКОМ Р-НЕ ПГТ. ЯСНОГОРСК| |
 |7959|750-029|ОТДЕЛ УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В П. ЯСНОГОРСК| |
 |7960|750-030|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В СРЕТЕНСКОМ Р-НЕ| |
 |7961|750-031|ТП УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В ТУНГОКОЧЕНСКОМ Р-НЕ|01.06.2015|
 |7962|750-031|Миграционный пункт УФМС России по Забайкальскому краю в Тунгокоченском районе| |
 |7963|750-032|ТП УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В ТУНГИРО-ОЛЕКМИНСКОМ Р-НЕ|23.06.2011|
 |7964|750-033|ТП УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В УЛЕТОВСКОМ Р-НЕ|01.06.2015|
 |7965|750-033|Миграционный пункт УФМС России по Забайкальскому краю в Улетовском районе| |
 |7966|750-034|ОУФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В ХИЛОКСКОМ Р-НЕ| |
 |7967|750-035|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В ЧЕРНЫШЕВСКОМ Р-НЕ|01.06.2015|
 |7968|750-035|Отдел УФМС России по Забайкальскому краю в Чернышевском районе| |
 |7969|750-036|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В ШИЛКИНСКОМ Р-НЕ| |
 |7970|750-036|ОТДЕЛ УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В Г. ШИЛКА| |
 |7971|750-037|ТП УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В ШЕЛОПУГИНСКОМ Р-НЕ|01.06.2015|
 |7972|750-037|Миграционный пункт УФМС России по Забайкальскому краю в Шелопугинском районе| |
 |7973|750-038|ТП УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В П. ГОРНЫЙ|01.06.2015|
 |7974|750-038|Миграционный пункт УФМС России по Забайкальскому краю в п. Горный| |
 |7975|750-039|ТП В П. КАДАЛА УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В ЧЕРНОВСКОМ Р-НЕ Г. ЧИТЫ| |
 |7976|750-040|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В ОЛОВЯННИНСКОМ Р-НЕ| |
 |7977|750-041|ОТДЕЛ УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В Г. МОГОЧА| |
 |7978|750-041|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В МОГОЧИНСКОМ Р-НЕ| |
 |7979|750-042|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В СРЕТЕНСКОМ Р-НЕ| |
 |7980|750-043|ТЕРРИТОРИАЛЬНЫЙ ПУНКТ УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В ТУНГОКОЧЕНСКОМ Р-НЕ|01.06.2015|
 |7981|750-043|Миграционный пункт УФМС России по Забайкальскому краю в Тунгокоченском районе| |
 |7982|750-044|ОТДЕЛ УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В Г. ШИЛКА| |
 |7983|750-044|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В ШИЛКИНСКОМ Р-НЕ| |
 |7984|750-046|Отдел УФМС России по Забайкальскому краю в Агинском районе| |
 |7985|750-046|ОУФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В АГИНСКОМ Р-НЕ|01.06.2015|
 |7986|750-047|Миграционный пункт УФМС России по Забайкальскому краю в Дульдургинском районе| |
 |7987|750-047|ТП УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В ДУЛЬДУРГИНСКОМ Р-НЕ|01.06.2015|
 |7988|750-048|Миграционный пункт УФМС России по Забайкальскому краю в Могойтуйском районе| |
 |7989|750-048|ТП УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В МОГОЙТУЙСКОМ Р-НЕ|01.06.2015|
 |7990|751-001|УВД ЧИТИНСКОЙ ОБЛ.| |
 |7991|752-001|ОВД ЦЕНТРАЛЬНОГО Р-НА Г. ЧИТЫ| |
 |7992|752-002|ОВД ИНГОДИНСКОГО Р-НА Г. ЧИТЫ| |
 |7993|752-003|ОВД ЖЕЛЕЗНОДОРОЖНОГО Р-НА Г. ЧИТЫ| |
 |7994|752-004|ОВД ЧЕРНОВСКОГО Р-НА Г. ЧИТЫ| |
 |7995|752-005|ОВД ЧИТИНСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |7996|752-006|ОВД АКШИНСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |7997|752-007|ОВД АЛЕКСАНДРОВО-ЗАВОДСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |7998|752-008|ОВД БАЛЕЙСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |7999|752-009|ОВД БОРЗИНСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8000|752-010|ОВД ГАЗИМУРО-ЗАВОДСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8001|752-011|ОВД ЗАБАЙКАЛЬСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8002|752-012|ОВД КАЛАРСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8003|752-013|ОВД КАЛГАНСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8004|752-014|ОВД КАРЫМСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8005|752-015|ОВД КРАСНОЧИКОЙСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8006|752-016|ОВД КРАСНОКАМЕНСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8007|752-017|ОВД КЫРИНСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8008|752-018|ОВД МОГОЧИНСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8009|752-019|ОВД НЕРЧИНСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8010|752-020|ОВД НЕРЧИНСКО-ЗАВОДСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8011|752-021|ОВД ОЛОВЯННИНСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8012|752-022|ОВД ОНОНСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8013|752-023|ОВД ПРИАРГУНСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8014|752-024|ОВД ПЕТРОВСК-ЗАБАЙКАЛЬСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8015|752-025|ОВД СРЕТЕНСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8016|752-026|ОВД ТУНГОКОЧЕНСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8017|752-027|ОВД ТУНГИРО-ОЛЕКМИНСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8018|752-028|ОВД УЛЕТОВСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8019|752-029|ОВД ХИЛОКСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8020|752-030|ОВД ЧЕРНЫШЕВСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8021|752-031|ОВД ШИЛКИНСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8022|752-032|ОВД ШЕЛОПУГИНСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8023|753-001|КАДАЛИНСКОЕ ОМ ЧЕРНОВСКОГО Р-НА Г. ЧИТЫ| |
 |8024|753-002|ШЕРЛОВОГОРСКОЕ ОМ БОРЗИНСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8025|753-003|КЛИЧКИНСКОЕ ОМ ПРИАРГУНСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8026|753-004|ДАРАСУНСКОЕ ОМ КАРЫМСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8027|753-005|КУРОРТ-ДАРАСУНСКОЕ ОМ КАРЫМСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8028|753-006|ЗОЛОТОРЕЧЕНСКОЕ ОМ ОЛОВЯННИНСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8029|753-007|ЯСНОГОРСКОЕ ОМ ОЛОВЯННИНСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8030|753-008|КОКУЙСКОЕ ОМ СРЕТЕНСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8031|753-009|ВЕРШИНО-ДАРАСУНСКОЕ ОМ ТУНГОКОЧЕНСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8032|753-010|МОГЗОНСКОЕ ОМ ХИЛОКСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8033|753-011|ПЕРВОМАЙСКОЕ ОМ ШИЛКИНСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8034|753-015|ПЕРВОМАЙСКОЕ ОМ ШИЛКИНСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.| |
 |8035|753-017|ОМ ПОСЕЛКА ГОРНЫЙ ЧИТИНСКОЙ ОБЛ.| |
 |8036|760-000|УПРАВЛЕНИЕ ФМС РОССИИ ПО ЯРОСЛАВСКОЙ ОБЛАСТИ| |
 |8037|760-001|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ЯРОСЛАВСКОЙ ОБЛ. В КИРОВСКОМ Р-НЕ Г. ЯРОСЛАВЛЯ| |
 |8038|760-002|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ЯРОСЛАВСКОЙ ОБЛ. В ЛЕНИНСКОМ Р-НЕ Г. ЯРОСЛАВЛЯ| |
 |8039|760-002|Отдел УФМС России по Ярославской области в Ленинском районе г. Ярославля - отделение противодействия незаконной миграции| |
 |8040|760-002|ОТДЕЛ УФМС РОССИИ ПО ЯРОСЛАВСКОЙ ОБЛ. В ЛЕНИНСКОМ Р-НЕ Г. ЯРОСЛАВЛЯ|31.05.2015|
 |8041|760-003|ОУФМС ПО ЯРОСЛАВСКОЙ ОБЛ. В ДЗЕРЖИНСКОМ Р-НЕ Г.ЯРОСЛАВЛЯ| |
 |8042|760-004|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ЯРОСЛАВСКОЙ ОБЛ. В КРАСНОПЕРЕКОПСКОМ Р-НЕ Г. ЯРОСЛАВЛЯ| |
 |8043|760-005|ОУФМС ПО ЯРОСЛАВСКОЙ ОБЛ. В ФРУНЗЕНСКОМ Р-НЕ Г.ЯРОСЛАВЛЯ| |
 |8044|760-006|ОУФМС ПО ЯРОСЛАВСКОЙ ОБЛ. В ЗАВОЛЖСКОМ Р-НЕ Г.ЯРОСЛАВЛЯ| |
 |8045|760-007|ОУФМС РОССИИ ПО ЯРОСЛАВСКОЙ ОБЛАСТИ В ГОР. РЫБИНСКЕ И РЫБИНСКОМ Р-НЕ|01.01.2011|
 |8046|760-007|ОУФМС ПО ЯРОСЛАВСКОЙ ОБЛ. В Г.РЫБИНСКЕ| |
 |8047|760-008|ОУФМС ПО ЯРОСЛАВСКОЙ ОБЛ. В Г.ПЕРЕСЛАВЛЕ-ЗАЛЕССКОМ И ПЕРЕСЛАВСКОМ Р-НЕ| |
 |8048|760-009|ОУФМС ПО ЯРОСЛАВСКОЙ ОБЛ. В Г.РОСТОВЕ| |
 |8049|760-010|ОУФМС ПО ЯРОСЛАВСКОЙ ОБЛ. В Г.УГЛИЧЕ| |
 |8050|760-011|ТП №1 ОУФМС по Ярославской обл. в г. Рыбинске| |
 |8051|760-011|ТП УФМС РОССИИ ПО ЯРОСЛАВСКОЙ ОБЛ. В БОЛЬШЕСЕЛЬСКОМ Р-НЕ| |
 |8052|760-011|ТП №2 ОУФМС ПО ЯРОСЛАВСКОЙ ОБЛ. В Г.УГЛИЧЕ|01.11.2013|
 |8053|760-012|ТП В БОРИСОГЛЕБСКОМ Р-НЕ ОУФМС ПО ЯРОСЛАВСКОЙ ОБЛ. В Г.РОСТОВЕ| |
 |8054|760-013|ТП №2 ОУФМС по Ярославской обл. в г. Угличе|31.05.2015|
 |8055|760-013|Миграционный пункт №2 Отдела УФМС России по Ярославской области в г. Угличе| |
 |8056|760-013|ТП №1 ОУФМС ПО ЯРОСЛАВСКОЙ ОБЛ. В Г.РЫБИНСКЕ|01.11.2013|
 |8057|760-014|Миграционный пункт в Гаврилов-Ямском районе Отдела УФМС России по Ярославской области в г. Ростове| |
 |8058|760-014|ОТДЕЛЕНИЕ В ГАВРИЛОВ-ЯМСКОМ Р-НЕ ОУФМС ПО ЯРОСЛАВСКОЙ ОБЛ. В Г.РОСТОВЕ|31.05.2015|
 |8059|760-015|ОТДЕЛЕНИЕ В НЕКРАСОВСКОМ Р-НЕ ОУФМС ПО ЯРОСЛАВСКОЙ ОБЛ. В ЯРОСЛАВСКОМ Р-НЕ| |
 |8060|760-015|Территориальный пункт №3 ОУФМС России по Ярославской области в Ярославском районе| |
 |8061|760-015|ОТДЕЛЕНИЕ В ДАНИЛОВСКОМ Р-НЕ ОУФМС ПО ЯРОСЛАВСКОЙ ОБЛ. В ЯРОСЛАВСКОМ Р-НЕ|17.06.2013|
 |8062|760-016|ТП №1 ОУФМС ПО ЯРОСЛАВСКОЙ ОБЛ. В ЯРОСЛАВСКОМ Р-НЕ| |
 |8063|760-017|ТП №1 ОУФМС ПО ЯРОСЛАВСКОЙ ОБЛ. В Г.УГЛИЧЕ| |
 |8064|760-017|ТП УФМС России по Ярославской области в Мышкинском районе|01.10.2010|
 |8065|760-018|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ЯРОСЛАВСКОЙ ОБЛ. В НЕКРАСОВСКОМ Р-НЕ| |
 |8066|760-018|ОТДЕЛЕНИЕ В НЕКРАСОВСКОМ Р-НЕ ОУФМС ПО ЯРОСЛАВСКОЙ ОБЛ. В ЯРОСЛАВСКОМ Р-НЕ| |
 |8067|760-019|ТП УФМС России по Ярославской области в Некоузском р-не|04.01.2011|
 |8068|760-019|ТП №3 ОУФМС ПО ЯРОСЛАВСКОЙ ОБЛ. В Г.УГЛИЧЕ| |
 |8069|760-020|ТП УФМС ПО ЯРОСЛАВСКОЙ ОБЛАСТИ В ПЕРВОМАЙСКОМ РАЙОНЕ|01.10.2010|
 |8070|760-020|ТП №2 ОУФМС ПО ЯРОСЛАВСКОЙ ОБЛ. В ЯРОСЛАВСКОМ Р-НЕ| |
 |8071|760-020|ТП УФМС России по Ярославской области в Первомайском районе|01.01.2011|
 |8072|760-021|ТП УФМС РОССИИ ПО ЯРОСЛАВСКОЙ ОБЛАСТИ В ПОШЕХОНСКОМ РАЙОНЕ|01.12.2010|
 |8073|760-021|Миграционный пункт №2 Отдела УФМС России по Ярославской области в г. Рыбинске| |
 |8074|760-021|ТП №2 ОУФМС ПО ЯРОСЛАВСКОЙ ОБЛ. В Г.РЫБИНСКЕ|31.05.2015|
 |8075|760-022|Отдел УФМС России по Ярославской области в Тутаевском районе| |
 |8076|760-022|ОУФМС ПО ЯРОСЛАВСКОЙ ОБЛ. В Г.ТУТАЕВЕ И ТУТАЕВСКОМ Р-НЕ|31.05.2015|
 |8077|760-023|ОУФМС ПО ЯРОСЛАВСКОЙ ОБЛ. В ЯРОСЛАВСКОМ Р-НЕ| |
 |8078|760-024|Отделение в Некрасовском р-не ОУФМС по Ярославской обл. в Ярославском р-не| |
 |8079|760-024|ТП УФМС РОССИИ ПО ЯРОСЛАВСКОЙ ОБЛАСТИ В ПОШЕХОНСКОМ РАЙОНЕ| |
 |8080|760-025|ТП №1 ОУФМС по Ярославской обл. в г. Угличе| |
 |8081|761-001|УВД ЯРОСЛАВСКОЙ ОБЛ.| |
 |8082|762-001|КИРОВСКИЙ РОВД Г. ЯРОСЛАВЛЯ| |
 |8083|762-002|ЛЕНИНСКИЙ РОВД Г. ЯРОСЛАВЛЯ| |
 |8084|762-003|ДЗЕРЖИНСКИЙ РУВД Г. ЯРОСЛАВЛЯ| |
 |8085|762-004|КРАСНОПЕРЕКОПСКИЙ РОВД Г. ЯРОСЛАВЛЯ| |
 |8086|762-005|ФРУНЗЕНСКИЙ РОВД Г. ЯРОСЛАВЛЯ| |
 |8087|762-006|ЗАВОЛЖСКИЙ РОВД Г. ЯРОСЛАВЛЯ| |
 |8088|762-007|УВД Г. РЫБИНСКА И РЫБИНСКОГО Р-НА ЯРОСЛАВСКОЙ ОБЛ.| |
 |8089|762-008|ПЕРЕСЛАВСКИЙ ГОВД ЯРОСЛАВСКОЙ ОБЛ.| |
 |8090|762-009|РОСТОВСКИЙ ГОВД ЯРОСЛАВСКОЙ ОБЛ.| |
 |8091|762-010|УГЛИЧСКИЙ РОВД ЯРОСЛАВСКОЙ ОБЛ.| |
 |8092|762-011|БОЛЬШЕСЕЛЬСКИЙ РОВД ЯРОСЛАВСКОЙ ОБЛ.| |
 |8093|762-012|БОРИСОГЛЕБСКИЙ РОВД ЯРОСЛАВСКОЙ ОБЛ.| |
 |8094|762-013|БРЕЙТОВСКИЙ РОВД ЯРОСЛАВСКОЙ ОБЛ.| |
 |8095|762-014|ГАВРИЛОВ-ЯМСКИЙ РОВД ЯРОСЛАВСКОЙ ОБЛ.| |
 |8096|762-015|ДАНИЛОВСКИЙ РОВД ЯРОСЛАВСКОЙ ОБЛ.| |
 |8097|762-016|ЛЮБИМСКИЙ РОВД ЯРОСЛАВСКОЙ ОБЛ.| |
 |8098|762-017|МЫШКИНСКИЙ РОВД ЯРОСЛАВСКОЙ ОБЛ.| |
 |8099|762-018|НЕКРАСОВСКИЙ РОВД ЯРОСЛАВСКОЙ ОБЛ.| |
 |8100|762-019|НЕКОУЗСКИЙ РОВД ЯРОСЛАВСКОЙ ОБЛ.| |
 |8101|762-020|ПЕРВОМАЙСКИЙ РОВД ЯРОСЛАВСКОЙ ОБЛ.| |
 |8102|762-021|ПОШЕХОНСКИЙ РОВД ЯРОСЛАВСКОЙ ОБЛ.| |
 |8103|762-022|РЫБИНСКИЙ РОВД ЯРОСЛАВСКОЙ ОБЛ.| |
 |8104|762-023|ТУТАЕВСКИЙ ГОВД ЯРОСЛАВСКОЙ ОБЛ.| |
 |8105|762-024|ЯРОСЛАВСКИЙ РОВД ЯРОСЛАВСКОЙ ОБЛ.| |
 |8106|770-001|УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ МИГРАЦИОННОЙ СЛУЖБЫ РОССИИ ПО ГОР.МОСКВЕ| |
 |8107|770-001|ОТДЕЛ МИГРАЦИОННОГО УЧЕТА И ОФОРМЛЕНИЯ ВИЗ УФМС РОССИИ ПО Г. МОСКВЕ| |
 |8108|770-001|ОТДЕЛ ОРГАНИЗАЦИИ ИММИГРАЦИОННОГО КОНТРОЛЯ УФМС РОССИИ ПО Г. МОСКВЕ| |
 |8109|770-001|ОТДЕЛ ПО АДМИНИСТРАТИВНОЙ ПРАКТИКЕ УФМС РОССИИ ПО Г. МОСКВЕ| |
 |8110|770-001|ОТДЕЛ ПАСПОРТНОЙ РАБОТЫ И РЕГИСТРАЦИОННОГО УЧЕТА НАСЕЛЕНИЯ УФМС РОССИ ПО Г.МОСКВЕ| |
 |8111|770-001|ОТДЕЛ ГРАЖДАНСТВА, РВП И ВЖ УФМС РОССИИ ПО Г.МОСКВЕ| |
 |8112|770-001|ОТДЕЛ ОФОРМЛЕНИЯ ПРИГЛАШЕНИЙ УФМС РОССИИ ПО Г. МОСКВЕ| |
 |8113|770-001|ОТДЕЛ ОФОРМЛЕНИЯ ЗАГРАНИЧНЫХ ПАСПОРТОВ УФМС РОССИИ ПО Г. МОСКВЕ| |
 |8114|770-002|ЦЕНТР ИРС ФМС России| |
 |8115|770-002|Отдел гражданства, РВП и ВЖ УФМС России по гор. Москве| |
 |8116|770-003|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ АРБАТ| |
 |8117|770-004|ОТДЕЛЕНИЕ ПО РАЙОНУ БАСМАННЫЙ ОУФМС РОССИИ ПО ГОР.МОСКВЕ В ЦАО| |
 |8118|770-004|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ БАСМАННЫЙ| |
 |8119|770-005|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ЗАМОСКВОРЕЧЬЕ| |
 |8120|770-006|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ КРАСНОСЕЛЬСКИЙ| |
 |8121|770-007|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ МЕЩАНСКИЙ| |
 |8122|770-008|ОТДЕЛЕНИЕ ПО Р-НУ ПРЕСНЕНСКИЙ ОУФМС РОССИИ ПО ГОР.МОСКВЕ В ЦАО| |
 |8123|770-008|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ПРЕСНЕНСКИЙ| |
 |8124|770-009|ОТДЕЛЕНИЕ ПО РАЙОНУ ТАГАНСКИЙ ОУФМС РОССИИ ПО ГОР.МОСКВЕ В ЦАО| |
 |8125|770-009|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ТАГАНСКИЙ| |
 |8126|770-010|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ТВЕРСКОЙ| |
